id,Date&Time,text
1874849586814369802,2025-01-02T16:05:49.000Z,"#JustIn | #SEBI passes interim order against Rohit Salgaocar, #KetanParekh & certain Kolkata-based entities in the matter of insider trading

Ketan Parekh, #RohitSalgaocar & #AshokPoddar restrained from dealing in #securities"
1874811304546116035,2025-01-02T13:33:41.000Z,"#Q3BusinessUpdate  | Bank Of Maharashtra
Total Business Up 16.9% YoY At ₹5.08 Lk Cr Vs ₹4.34 Lk Cr

Gross Advances Up 21.2% YoY At ₹2.29 Lk Cr Vs ₹1.89 Lk Cr

Total Deposits Up 13.5% YoY At ₹2.79 LK Cr Vs ₹2.46 Lk Cr"
1874844422254538866,2025-01-02T15:45:17.000Z,"#BankOfMaharashtra Q3 business update: Gross advances surge 21.2% on-year
@sheersh0510"
1874812305655156856,2025-01-02T13:37:40.000Z,"#AvenueSupermarts reports 17.5% growth in #Q3 revenue
@jpullokaran"
1874800892744188368,2025-01-02T12:52:19.000Z,"#JustIn | 
@nhpcltd
 gets payment of₹250 crore under mega insurance policy for loss caused by flash flood at Teesta-V Power Station (510 MW) on October 4, 2023"
1874779441270075584,2025-01-02T11:27:05.000Z,"COMING UP AT 5:15 PM | JSW MG Motor India recorded it's best ever Dec with a growth of 55% with EVs leading the charge. 
@Parikshitl
 speaks to 
@rajeev_chaba
, CEO Emeritus, #JSWMGMotorIndia on the company's strong performance & plans to scale up ahead
#EV #ElectricVehicles #Auto"
1874825231459909986,2025-01-02T14:29:02.000Z,"#NBFC industry's wishlist for #UnionBudget 2025: #FIDC calls for policy support to boost growth
@_ritusingh"
1874842125327810581,2025-01-02T15:36:10.000Z,"#NewOrleansAttack | 'Pressure on #Trump to boost #counterterrorism measures'
@Parikshitl"
1874797375564496977,2025-01-02T12:38:21.000Z,"#Mumbai real estate market sees highest property registrations in 13 years, says report
@TimsyJaipuria
 #RealEstate"
1874781322050498957,2025-01-02T11:34:33.000Z,"#CyberFraud called 'pig butchering scam' targeting unemployed youths, housewives, students: #MHA report"
1874821547170652463,2025-01-02T14:14:24.000Z,"#NewsFlash | Harmonization of Factoring Regulation Act, 2021, to eliminate dual registration requirements for NBFCs engaging in factoring"
1874799449056407717,2025-01-02T12:46:35.000Z,"A weaker #rupee is not necessarily a bad thing
@latha_venkatesh"
1874829511562567733,2025-01-02T14:46:02.000Z,"#NewsAlert | New Orleans attack suspect inspired by ISIS, says President Biden. Texas man killed in police shootout; possible link to Tesla explosion outside Trump Hotel in Vegas under probe 

Srinjoy Chowdhury reports! 
@srinjoyc1
 

#neworleansattack"
1874787888866726178,2025-01-02T12:00:39.000Z,"Shillong Lottery Result Today, Jan 2, 2025: Thursday's winning numbers! - Check online"
1874785184228552757,2025-01-02T11:49:54.000Z,"#NewsFatafat | In a significant development, multiple reports suggest that Rohit Sharma has opted out of the SCG Test, paving the way for Jasprit Bumrah to lead the team

Shubhman Gill is expected to step in as India gears up for the decisive final match of the Border-Gavaskar"
1874824081834758301,2025-01-02T14:24:28.000Z,Blinkit Ambulance: 10-min service! Zomato-owned company's latest launch in THIS city - Price?
1874823936732717091,2025-01-02T14:23:53.000Z,"#NewsAlert | SEBI passes interim order against 22 entities including Rohit Salgaocar, Ketan Parekh

#SEBI"
1874818243346702451,2025-01-02T14:01:16.000Z,"#GLOBALNEWS | US jobless claims at 2.11 lk in Dec 28 week vs est of 221k (Agencies) 

#JoblessClaims"
1874821203917246930,2025-01-02T14:13:02.000Z,'Best year for brokerage industry...' - Why Zerodha's Nithin Kamath feels the best is behind us
1874862202068545808,2025-01-02T16:55:56.000Z,"#NewsAlert | ""Extremely humbled and honored..."" shares World Champion D Gukesh after being shortlisted for the prestigious Khel Ratna Award."
1874858525463396408,2025-01-02T16:41:20.000Z,"#NewsAlert | The Sports Ministry has officially announced the list of Khel Ratna Awardees, putting an end to controversies 

This year's honorees include Manu Bhakar, D Mukesh, Harmanpreet Singh, and Praveen Kumar 

The highest sporting honor recognizes their outstanding"
1874817926622216596,2025-01-02T14:00:00.000Z,"#Watch | BigBasket enters the fast lane with quick medicine delivery  
@palodanjali
 shares more on this as per #sources 

#BigBasket #MedicineDelivery"
1874815843999322439,2025-01-02T13:51:44.000Z,"#NewsFatafat | In a significant development, multiple reports suggest that Rohit Sharma has opted out of the SCG Test, paving the way for Jasprit Bumrah to lead the team 

Shubhman Gill is expected to step in as India gears up for the decisive final match of the Border-Gavaskar"
1874788468783743224,2025-01-02T12:02:57.000Z,#NewsAlert | Avenue Supermarts Q3 updates 
1874779974135390649,2025-01-02T11:29:12.000Z,"#Exclusive | SEBI AO Order On Thursday

SEBI drops adjudication proceedings against ZEEL, Subhash Chandra, and Punit Goenka. #Sources inform 
@ankurmishrasays
 #SEBI #ZeeEnt #PunitGoenka #SubhashChandra"
1874818398976369116,2025-01-02T14:01:53.000Z,"#Watch | #Blinkit launches ambulance services in Gurugram today, with plans to expand nationwide in the next 2 years!  
@AASTHACHOPRA13
  has all the key details. 
@letsblinkit
 #AmbulanceService"
1874811523811709194,2025-01-02T13:34:34.000Z,"Times Network, in collaboration with IBM and Microsoft, proudly celebrated the pioneer driving the future of technology in 2025 as a Technology Leader of the Year

These remarkable minds are redefining innovation, setting new standards, and shaping the world of AI."
1874821019271356895,2025-01-02T14:12:18.000Z,"Budget Exclusive | ""The focus of my comments was on increasing inclusion in the capital markets,"" says 
@iRadhikaGupta
 after the pre-budget meet
@priyadarshi108
  #CapitalMarkets #FinancialInclusion #PreBudgetMeet"
1874814404384129477,2025-01-02T13:46:01.000Z,One Mobikwik Q2 results FY2024-25 Date: First quarterly earnings of fintech post IPO - Check schedule
